"location","depth","photo","group","successes","failures","cover"
"ana","dp","t2_15","biotic",0,100,0
"ana","dp","t2_15","hard_coral_other",0,100,0
"ana","dp","t2_2","abiotic",0,100,0
"ana","dp","t2_2","macro",7,93,0.07
"ana","dp","t2_2","non_reef",3,97,0.03
"ana","dp","t2_2","plob",90,10,0.9
"ana","dp","t2_2","turf",0,100,0
"ana","dp","t2_2","poci",0,100,0
"ana","dp","t2_2","cca",0,100,0
"ana","dp","t2_2","biotic",0,100,0
"ana","dp","t2_2","hard_coral_other",0,100,0
"ana","dp","t2_3","abiotic",0,100,0
"ana","dp","t2_3","macro",16,84,0.16
"ana","dp","t2_3","non_reef",2,98,0.02
"ana","dp","t2_3","plob",82,18,0.82
"ana","dp","t2_3","turf",0,100,0
"ana","dp","t2_3","poci",0,100,0
"ana","dp","t2_3","cca",0,100,0
"ana","dp","t2_3","biotic",0,100,0
"ana","dp","t2_3","hard_coral_other",0,100,0
"ana","dp","t2_4","abiotic",0,100,0
"ana","dp","t2_4","macro",9,91,0.09
"ana","dp","t2_4","non_reef",13,87,0.13
"ana","dp","t2_4","plob",70,30,0.7
"ana","dp","t2_4","turf",8,92,0.08
"ana","dp","t2_4","poci",0,100,0
"ana","dp","t2_4","cca",0,100,0
"ana","dp","t2_4","biotic",0,100,0
"ana","dp","t2_4","hard_coral_other",0,100,0
"ana","dp","t2_5","abiotic",0,100,0
"ana","dp","t2_5","macro",29,71,0.29
"ana","dp","t2_5","non_reef",3,97,0.03
"ana","dp","t2_5","plob",57,43,0.57
"ana","dp","t2_5","turf",11,89,0.11
"ana","dp","t2_5","poci",0,100,0
"ana","dp","t2_5","cca",0,100,0
"ana","dp","t2_5","biotic",0,100,0
"ana","dp","t2_5","hard_coral_other",0,100,0
"ana","dp","t2_6","abiotic",0,100,0
"ana","dp","t2_6","macro",25,75,0.25
"ana","dp","t2_6","non_reef",5,95,0.05
"ana","dp","t2_6","plob",69,31,0.69
"ana","dp","t2_6","turf",1,99,0.01
"ana","dp","t2_6","poci",0,100,0
"ana","dp","t2_6","cca",0,100,0
"ana","dp","t2_6","biotic",0,100,0
"ana","dp","t2_6","hard_coral_other",0,100,0
"ana","dp","t2_7","abiotic",0,100,0
"ana","dp","t2_7","macro",30,70,0.3
"ana","dp","t2_7","non_reef",6,94,0.06
"ana","dp","t2_7","plob",61,39,0.61
"ana","dp","t2_7","turf",3,97,0.03
"ana","dp","t2_7","poci",0,100,0
"ana","dp","t2_7","cca",0,100,0
"ana","dp","t2_7","biotic",0,100,0
"ana","dp","t2_7","hard_coral_other",0,100,0
"ana","dp","t2_8","abiotic",0,100,0
"ana","dp","t2_8","macro",19,81,0.19
"ana","dp","t2_8","non_reef",4,96,0.04
"ana","dp","t2_8","plob",58,42,0.58
"ana","dp","t2_8","turf",14,86,0.14
"ana","dp","t2_8","poci",0,100,0
"ana","dp","t2_8","cca",3,97,0.03
"ana","dp","t2_8","biotic",2,98,0.02
"ana","dp","t2_8","hard_coral_other",0,100,0
"ana","dp","t2_9","abiotic",0,100,0
"ana","dp","t2_9","macro",50,50,0.5
"ana","dp","t2_9","non_reef",11,89,0.11
"ana","dp","t2_9","plob",21,79,0.21
"ana","dp","t2_9","turf",15,85,0.15
"ana","dp","t2_9","poci",1,99,0.01
"ana","dp","t2_9","cca",2,98,0.02
"ana","dp","t2_9","biotic",0,100,0
"ana","dp","t2_9","hard_coral_other",0,100,0
"ana","dp","t3_1","abiotic",20,80,0.2
"ana","dp","t3_1","macro",19,81,0.19
"ana","dp","t3_1","non_reef",2,98,0.02
"ana","dp","t3_1","plob",54,46,0.54
"ana","dp","t3_1","turf",5,95,0.05
"ana","dp","t3_1","poci",0,100,0
"ana","dp","t3_1","cca",0,100,0
"ana","dp","t3_1","biotic",0,100,0
"ana","dp","t3_1","hard_coral_other",0,100,0
"ana","dp","t3_10","abiotic",0,100,0
"ana","dp","t3_10","macro",6,94,0.06
"ana","dp","t3_10","non_reef",5,95,0.05
"ana","dp","t3_10","plob",75,25,0.75
"ana","dp","t3_10","turf",12,88,0.12
"ana","dp","t3_10","poci",0,100,0
"ana","dp","t3_10","cca",2,98,0.02
"ana","dp","t3_10","biotic",0,100,0
"ana","dp","t3_10","hard_coral_other",0,100,0
"ana","dp","t3_11","abiotic",0,100,0
"ana","dp","t3_11","macro",6,94,0.06
"ana","dp","t3_11","non_reef",2,98,0.02
"ana","dp","t3_11","plob",85,15,0.85
"ana","dp","t3_11","turf",7,93,0.07
"ana","dp","t3_11","poci",0,100,0
"ana","dp","t3_11","cca",0,100,0
"ana","dp","t3_11","biotic",0,100,0
"ana","dp","t3_11","hard_coral_other",0,100,0
"ana","dp","t3_12","abiotic",0,100,0
"ana","dp","t3_12","macro",8,92,0.08
"ana","dp","t3_12","non_reef",4,96,0.04
"ana","dp","t3_12","plob",85,15,0.85
"ana","dp","t3_12","turf",2,98,0.02
"ana","dp","t3_12","poci",1,99,0.01
"ana","dp","t3_12","cca",0,100,0
"ana","dp","t3_12","biotic",0,100,0
"ana","dp","t3_12","hard_coral_other",0,100,0
"ana","dp","t3_13","abiotic",0,100,0
"ana","dp","t3_13","macro",12,88,0.12
"ana","dp","t3_13","non_reef",5,95,0.05
"ana","dp","t3_13","plob",82,18,0.82
"ana","dp","t3_13","turf",1,99,0.01
"ana","dp","t3_13","poci",0,100,0
"ana","dp","t3_13","cca",0,100,0
"ana","dp","t3_13","biotic",0,100,0
"ana","dp","t3_13","hard_coral_other",0,100,0
"ana","dp","t3_14","abiotic",0,100,0
"ana","dp","t3_14","macro",14,86,0.14
"ana","dp","t3_14","non_reef",4,96,0.04
"ana","dp","t3_14","plob",81,19,0.81
"ana","dp","t3_14","turf",1,99,0.01
"ana","dp","t3_14","poci",0,100,0
"ana","dp","t3_14","cca",0,100,0
"ana","dp","t3_14","biotic",0,100,0
"ana","dp","t3_14","hard_coral_other",0,100,0
"ana","dp","t3_15","abiotic",0,100,0
"ana","dp","t3_15","macro",9,91,0.09
"ana","dp","t3_15","non_reef",7,93,0.07
"ana","dp","t3_15","plob",82,18,0.82
"ana","dp","t3_15","turf",2,98,0.02
"ana","dp","t3_15","poci",0,100,0
"ana","dp","t3_15","cca",0,100,0
"ana","dp","t3_15","biotic",0,100,0
"ana","dp","t3_15","hard_coral_other",0,100,0
"ana","dp","t3_2","abiotic",25,75,0.25
"ana","dp","t3_2","macro",26,74,0.26
"ana","dp","t3_2","non_reef",3,97,0.03
"ana","dp","t3_2","plob",46,54,0.46
"ana","dp","t3_2","turf",0,100,0
"ana","dp","t3_2","poci",0,100,0
"ana","dp","t3_2","cca",0,100,0
"ana","dp","t3_2","biotic",0,100,0
"ana","dp","t3_2","hard_coral_other",0,100,0
"ana","dp","t3_3","abiotic",1,99,0.01
"ana","dp","t3_3","macro",50,50,0.5
"ana","dp","t3_3","non_reef",3,97,0.03
"ana","dp","t3_3","plob",46,54,0.46
"ana","dp","t3_3","turf",0,100,0
"ana","dp","t3_3","poci",0,100,0
"ana","dp","t3_3","cca",0,100,0
"ana","dp","t3_3","biotic",0,100,0
"ana","dp","t3_3","hard_coral_other",0,100,0
"ana","dp","t3_4","abiotic",4,96,0.04
"ana","dp","t3_4","macro",17,83,0.17
"ana","dp","t3_4","non_reef",3,97,0.03
"ana","dp","t3_4","plob",31,69,0.31
"ana","dp","t3_4","turf",43,57,0.43
"ana","dp","t3_4","poci",2,98,0.02
"ana","dp","t3_4","cca",0,100,0
"ana","dp","t3_4","biotic",0,100,0
"ana","dp","t3_4","hard_coral_other",0,100,0
"ana","dp","t3_5","abiotic",1,99,0.01
"ana","dp","t3_5","macro",28,72,0.28
"ana","dp","t3_5","non_reef",4,96,0.04
"ana","dp","t3_5","plob",50,50,0.5
"ana","dp","t3_5","turf",14,86,0.14
"ana","dp","t3_5","poci",3,97,0.03
"ana","dp","t3_5","cca",0,100,0
"ana","dp","t3_5","biotic",0,100,0
"ana","dp","t3_5","hard_coral_other",0,100,0
"ana","dp","t3_6","abiotic",0,100,0
"ana","dp","t3_6","macro",15,85,0.15
"ana","dp","t3_6","non_reef",0,100,0
"ana","dp","t3_6","plob",53,47,0.53
"ana","dp","t3_6","turf",25,75,0.25
"ana","dp","t3_6","poci",6,94,0.06
"ana","dp","t3_6","cca",0,100,0
"ana","dp","t3_6","biotic",1,99,0.01
"ana","dp","t3_6","hard_coral_other",0,100,0
"ana","dp","t3_7","abiotic",2,98,0.02
"ana","dp","t3_7","macro",12,88,0.12
"ana","dp","t3_7","non_reef",4,96,0.04
"ana","dp","t3_7","plob",82,18,0.82
"ana","dp","t3_7","turf",0,100,0
"ana","dp","t3_7","poci",0,100,0
"ana","dp","t3_7","cca",0,100,0
"ana","dp","t3_7","biotic",0,100,0
"ana","dp","t3_7","hard_coral_other",0,100,0
"ana","dp","t3_8","abiotic",5,95,0.05
"ana","dp","t3_8","macro",11,89,0.11
"ana","dp","t3_8","non_reef",3,97,0.03
"ana","dp","t3_8","plob",42,58,0.42
"ana","dp","t3_8","turf",37,63,0.37
"ana","dp","t3_8","poci",0,100,0
"ana","dp","t3_8","cca",2,98,0.02
"ana","dp","t3_8","biotic",0,100,0
"ana","dp","t3_8","hard_coral_other",0,100,0
"ana","dp","t3_9","abiotic",0,100,0
"ana","dp","t3_9","macro",14,86,0.14
"ana","dp","t3_9","non_reef",7,93,0.07
"ana","dp","t3_9","plob",71,29,0.71
"ana","dp","t3_9","turf",8,92,0.08
"ana","dp","t3_9","poci",0,100,0
"ana","dp","t3_9","cca",0,100,0
"ana","dp","t3_9","biotic",0,100,0
"ana","dp","t3_9","hard_coral_other",0,100,0
"ana","dp","t4_1","abiotic",0,100,0
"ana","dp","t4_1","macro",14,86,0.14
"ana","dp","t4_1","non_reef",2,98,0.02
"ana","dp","t4_1","plob",82,18,0.82
"ana","dp","t4_1","turf",0,100,0
"ana","dp","t4_1","poci",2,98,0.02
"ana","dp","t4_1","cca",0,100,0
"ana","dp","t4_1","biotic",0,100,0
"ana","dp","t4_1","hard_coral_other",0,100,0
"ana","dp","t4_10","abiotic",0,100,0
"ana","dp","t4_10","macro",30,70,0.3
"ana","dp","t4_10","non_reef",2,98,0.02
"ana","dp","t4_10","plob",68,32,0.68
"ana","dp","t4_10","turf",0,100,0
"ana","dp","t4_10","poci",0,100,0
"ana","dp","t4_10","cca",0,100,0
"ana","dp","t4_10","biotic",0,100,0
"ana","dp","t4_10","hard_coral_other",0,100,0
"ana","dp","t4_11","abiotic",0,100,0
"ana","dp","t4_11","macro",10,90,0.1
"ana","dp","t4_11","non_reef",2,98,0.02
"ana","dp","t4_11","plob",87,13,0.87
"ana","dp","t4_11","turf",1,99,0.01
"ana","dp","t4_11","poci",0,100,0
"ana","dp","t4_11","cca",0,100,0
"ana","dp","t4_11","biotic",0,100,0
"ana","dp","t4_11","hard_coral_other",0,100,0
"ana","dp","t4_12","abiotic",0,100,0
"ana","dp","t4_12","macro",22,78,0.22
"ana","dp","t4_12","non_reef",4,96,0.04
"ana","dp","t4_12","plob",69,31,0.69
"ana","dp","t4_12","turf",5,95,0.05
"ana","dp","t4_12","poci",0,100,0
"ana","dp","t4_12","cca",0,100,0
"ana","dp","t4_12","biotic",0,100,0
"ana","dp","t4_12","hard_coral_other",0,100,0
"ana","dp","t4_13","abiotic",3,97,0.03
"ana","dp","t4_13","macro",16,84,0.16
"ana","dp","t4_13","non_reef",0,100,0
"ana","dp","t4_13","plob",80,20,0.8
"ana","dp","t4_13","turf",1,99,0.01
"ana","dp","t4_13","poci",0,100,0
"ana","dp","t4_13","cca",0,100,0
"ana","dp","t4_13","biotic",0,100,0
"ana","dp","t4_13","hard_coral_other",0,100,0
"ana","dp","t4_14","abiotic",7,93,0.07
"ana","dp","t4_14","macro",16,84,0.16
"ana","dp","t4_14","non_reef",2,98,0.02
"ana","dp","t4_14","plob",67,33,0.67
"ana","dp","t4_14","turf",8,92,0.08
"ana","dp","t4_14","poci",0,100,0
"ana","dp","t4_14","cca",0,100,0
"ana","dp","t4_14","biotic",0,100,0
"ana","dp","t4_14","hard_coral_other",0,100,0
"ana","dp","t4_15","abiotic",55,45,0.55
"ana","dp","t4_15","macro",36,64,0.36
"ana","dp","t4_15","non_reef",2,98,0.02
"ana","dp","t4_15","plob",3,97,0.03
"ana","dp","t4_15","turf",4,96,0.04
"ana","dp","t4_15","poci",0,100,0
"ana","dp","t4_15","cca",0,100,0
"ana","dp","t4_15","biotic",0,100,0
"ana","dp","t4_15","hard_coral_other",0,100,0
"ana","dp","t4_2","abiotic",0,100,0
"ana","dp","t4_2","macro",20,80,0.2
"ana","dp","t4_2","non_reef",1,99,0.01
"ana","dp","t4_2","plob",79,21,0.79
"ana","dp","t4_2","turf",0,100,0
"ana","dp","t4_2","poci",0,100,0
"ana","dp","t4_2","cca",0,100,0
"ana","dp","t4_2","biotic",0,100,0
"ana","dp","t4_2","hard_coral_other",0,100,0
"ana","dp","t4_3","abiotic",0,100,0
"ana","dp","t4_3","macro",16,84,0.16
"ana","dp","t4_3","non_reef",3,97,0.03
"ana","dp","t4_3","plob",81,19,0.81
"ana","dp","t4_3","turf",0,100,0
"ana","dp","t4_3","poci",0,100,0
"ana","dp","t4_3","cca",0,100,0
"ana","dp","t4_3","biotic",0,100,0
"ana","dp","t4_3","hard_coral_other",0,100,0
"ana","dp","t4_4","abiotic",0,100,0
"ana","dp","t4_4","macro",17,83,0.17
"ana","dp","t4_4","non_reef",4,96,0.04
"ana","dp","t4_4","plob",79,21,0.79
"ana","dp","t4_4","turf",0,100,0
"ana","dp","t4_4","poci",0,100,0
"ana","dp","t4_4","cca",0,100,0
"ana","dp","t4_4","biotic",0,100,0
"ana","dp","t4_4","hard_coral_other",0,100,0
"ana","dp","t4_5","abiotic",6,94,0.06
"ana","dp","t4_5","macro",23,77,0.23
"ana","dp","t4_5","non_reef",4,96,0.04
"ana","dp","t4_5","plob",64,36,0.64
"ana","dp","t4_5","turf",0,100,0
"ana","dp","t4_5","poci",2,98,0.02
"ana","dp","t4_5","cca",0,100,0
"ana","dp","t4_5","biotic",1,99,0.01
"ana","dp","t4_5","hard_coral_other",0,100,0
"ana","dp","t4_6","abiotic",0,100,0
"ana","dp","t4_6","macro",25,75,0.25
"ana","dp","t4_6","non_reef",0,100,0
"ana","dp","t4_6","plob",75,25,0.75
"ana","dp","t4_6","turf",0,100,0
"ana","dp","t4_6","poci",0,100,0
"ana","dp","t4_6","cca",0,100,0
"ana","dp","t4_6","biotic",0,100,0
"ana","dp","t4_6","hard_coral_other",0,100,0
"ana","dp","t4_7","abiotic",7,93,0.07
"ana","dp","t4_7","macro",26,74,0.26
"ana","dp","t4_7","non_reef",2,98,0.02
"ana","dp","t4_7","plob",65,35,0.65
"ana","dp","t4_7","turf",0,100,0
"ana","dp","t4_7","poci",0,100,0
"ana","dp","t4_7","cca",0,100,0
"ana","dp","t4_7","biotic",0,100,0
"ana","dp","t4_7","hard_coral_other",0,100,0
"ana","dp","t4_8","abiotic",0,100,0
"ana","dp","t4_8","macro",20,80,0.2
"ana","dp","t4_8","non_reef",3,97,0.03
"ana","dp","t4_8","plob",76,24,0.76
"ana","dp","t4_8","turf",0,100,0
"ana","dp","t4_8","poci",1,99,0.01
"ana","dp","t4_8","cca",0,100,0
"ana","dp","t4_8","biotic",0,100,0
"ana","dp","t4_8","hard_coral_other",0,100,0
"ana","dp","t4_9","abiotic",0,100,0
"ana","dp","t4_9","macro",32,68,0.32
"ana","dp","t4_9","non_reef",3,97,0.03
"ana","dp","t4_9","plob",63,37,0.63
"ana","dp","t4_9","turf",1,99,0.01
"ana","dp","t4_9","poci",1,99,0.01
"ana","dp","t4_9","cca",0,100,0
"ana","dp","t4_9","biotic",0,100,0
"ana","dp","t4_9","hard_coral_other",0,100,0
"ana","md","t1_1","abiotic",0,100,0
"ana","md","t1_1","macro",8,92,0.08
"ana","md","t1_1","non_reef",27,73,0.27
"ana","md","t1_1","plob",42,58,0.42
"ana","md","t1_1","turf",18,82,0.18
"ana","md","t1_1","poci",5,95,0.05
"ana","md","t1_1","cca",0,100,0
"ana","md","t1_1","biotic",0,100,0
"ana","md","t1_1","hard_coral_other",0,100,0
"ana","md","t1_10","abiotic",0,100,0
"ana","md","t1_10","macro",8,92,0.08
"ana","md","t1_10","non_reef",19,81,0.19
"ana","md","t1_10","plob",72,28,0.72
"ana","md","t1_10","turf",1,99,0.01
"ana","md","t1_10","poci",0,100,0
"ana","md","t1_10","cca",0,100,0
"ana","md","t1_10","biotic",0,100,0
"ana","md","t1_10","hard_coral_other",0,100,0
"ana","md","t1_11","abiotic",0,100,0
"ana","md","t1_11","macro",1,99,0.01
"ana","md","t1_11","non_reef",28,72,0.28
"ana","md","t1_11","plob",70,30,0.7
"ana","md","t1_11","turf",1,99,0.01
"ana","md","t1_11","poci",0,100,0
"ana","md","t1_11","cca",0,100,0
"ana","md","t1_11","biotic",0,100,0
"ana","md","t1_11","hard_coral_other",0,100,0
"ana","md","t1_12","abiotic",0,100,0
"ana","md","t1_12","macro",6,94,0.06
"ana","md","t1_12","non_reef",9,91,0.09
"ana","md","t1_12","plob",85,15,0.85
"ana","md","t1_12","turf",0,100,0
"ana","md","t1_12","poci",0,100,0
"ana","md","t1_12","cca",0,100,0
"ana","md","t1_12","biotic",0,100,0
"ana","md","t1_12","hard_coral_other",0,100,0
"ana","md","t1_13","abiotic",0,100,0
"ana","md","t1_13","macro",15,85,0.15
"ana","md","t1_13","non_reef",9,91,0.09
"ana","md","t1_13","plob",76,24,0.76
"ana","md","t1_13","turf",0,100,0
"ana","md","t1_13","poci",0,100,0
"ana","md","t1_13","cca",0,100,0
"ana","md","t1_13","biotic",0,100,0
"ana","md","t1_13","hard_coral_other",0,100,0
"ana","md","t1_14","abiotic",0,100,0
"ana","md","t1_14","macro",18,82,0.18
"ana","md","t1_14","non_reef",12,88,0.12
"ana","md","t1_14","plob",59,41,0.59
"ana","md","t1_14","turf",11,89,0.11
"ana","md","t1_14","poci",0,100,0
"ana","md","t1_14","cca",0,100,0
"ana","md","t1_14","biotic",0,100,0
"ana","md","t1_14","hard_coral_other",0,100,0
"ana","md","t1_15","abiotic",0,100,0
"ana","md","t1_15","macro",9,91,0.09
"ana","md","t1_15","non_reef",16,84,0.16
"ana","md","t1_15","plob",75,25,0.75
"ana","md","t1_15","turf",0,100,0
"ana","md","t1_15","poci",0,100,0
"ana","md","t1_15","cca",0,100,0
"ana","md","t1_15","biotic",0,100,0
"ana","md","t1_15","hard_coral_other",0,100,0
"ana","md","t1_2","abiotic",6,94,0.06
"ana","md","t1_2","macro",1,99,0.01
"ana","md","t1_2","non_reef",48,52,0.48
"ana","md","t1_2","plob",25,75,0.25
